scene_id,category,rgb_path,thermal_path,thermal_tiff_path,label_json
fire_00001,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00001.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00001.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00001.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""medium"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00002,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00002.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00002.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00002.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""medium"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00003,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00003.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00003.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00003.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""medium"", ""fire_size"": ""small"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00004,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00004.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00004.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00004.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""medium"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00005,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00005.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00005.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00005.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""small"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00006,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00006.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00006.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00006.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""low"", ""fire_size"": ""small"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00007,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00007.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00007.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00007.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""medium"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00008,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00008.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00008.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00008.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""small"", ""smoke_visible"": false, ""image_quality_limited"": false}"
fire_00009,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00009.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00009.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00009.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""high"", ""fire_size"": ""small"", ""smoke_visible"": true, ""image_quality_limited"": false}"
fire_00010,Fire,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/RGB/Corrected FOV/00010.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Raw JPG/00010.JPG,dataset/FLAME 3 CV Dataset (Sycan Marsh)/Fire/Thermal/Celsius TIFF/00010.TIFF,"{""fire_present"": true, ""thermal_hotspot_intensity"": ""low"", ""fire_size"": ""small"", ""smoke_visible"": true, ""image_quality_limited"": false}"
